Land,Regierungsbezirk,Kennziffer,Zulassungsbezirk,Personenkraftwagen_LW,Personenkraftwagen_G,Personenkraftwagen_Bau,Personenkraftwagen_H,Personenkraftwagen_VL,Personenkraftwagen_WD,Personenkraftwagen_SD,Personenkraftwagen_A,Personenkraftwagen_S,Personenkraftwagen,Lastkraftwagen_LW,Lastkraftwagen_G,Lastkraftwagen_Bau,Lastkraftwagen_H,Lastkraftwagen_VL,Lastkraftwagen_WD,Lastkraftwagen_SD,Lastkraftwagen_A,Lastkraftwagen_S,Lastkraftwagen
BADEN-WUERTTEMBERG,RB FREIBURG,8315, BREISGAU-HOCHSCHWARZWALD,8,327,209,683,74,321,228,17663,587,20100,1,68,169,95,74,101,129,443,83,1163
BADEN-WUERTTEMBERG,RB FREIBURG,8316, EMMENDINGEN,5,172,96,657,26,182,187,11242,290,12857,2,56,62,107,31,27,63,330,33,711
BADEN-WUERTTEMBERG,RB FREIBURG,8311, FREIBURG I.BREISG.STADT,1,251,115,1458,125,170,908,9505,751,13284,0,6,54,167,88,31,157,264,50,817
BADEN-WUERTTEMBERG,RB FREIBURG,8335, KONSTANZ,10,407,139,1690,60,101,866,20844,574,24691,7,69,112,130,44,25,186,430,70,1073
BADEN-WUERTTEMBERG,RB FREIBURG,8336, LOERRACH,5,486,81,954,43,272,370,17123,277,19611,5,93,76,49,47,18,102,458,62,910
BADEN-WUERTTEMBERG,RB FREIBURG,8317, ORTENAUKREIS,30,747,324,5926,208,237,1305,30744,2584,42105,14,217,247,688,190,47,309,742,113,2567
BADEN-WUERTTEMBERG,RB FREIBURG,8325, ROTTWEIL,2,60,30,564,47,11,1480,12897,73,15164,3,5,37,44,50,2,356,242,9,748
BADEN-WUERTTEMBERG,RB FREIBURG,8326, SCHWARZWALD-BAAR-KREIS,5,314,116,963,45,72,1158,18860,420,21953,2,54,113,93,140,33,335,372,46,1188
BADEN-WUERTTEMBERG,RB FREIBURG,8327, TUTTLINGEN,1,1326,118,917,40,38,300,13023,197,15960,0,100,98,49,38,15,71,252,20,643
BADEN-WUERTTEMBERG,RB FREIBURG,8337, WALDSHUT,8,230,105,1185,67,259,207,15883,282,18226,3,78,99,98,39,33,80,376,50,856
BADEN-WUERTTEMBERG,RB KARLSRUHE,8211," BADEN-BADEN,STADT",2,147,66,975,51,104,122,3945,359,5771,4,34,37,34,13,16,24,62,30,254
BADEN-WUERTTEMBERG,RB KARLSRUHE,8235, CALW,5,204,50,600,41,103,819,15675,185,17682,8,37,47,70,83,21,217,315,24,822
BADEN-WUERTTEMBERG,RB KARLSRUHE,8236, ENZKREIS,7,311,61,509,34,45,1121,15218,223,17529,3,49,66,59,49,8,202,304,28,768
BADEN-WUERTTEMBERG,RB KARLSRUHE,8237, FREUDENSTADT,6,383,132,764,71,35,338,11036,352,13117,7,43,94,116,64,9,22,232,71,658
BADEN-WUERTTEMBERG,RB KARLSRUHE,8221," HEIDELBERG,STADT",0,251,146,649,47,228,572,5887,476,8256,1,14,74,42,19,32,99,100,54,435
BADEN-WUERTTEMBERG,RB KARLSRUHE,8215, KARLSRUHE,8,655,357,2326,134,284,1319,30547,796,36426,7,146,218,188,111,32,313,600,82,1697
BADEN-WUERTTEMBERG,RB KARLSRUHE,8212," KARLSRUHE,STADT",0,207,97,2465,88,951,2608,13503,900,20819,1,18,54,165,65,41,397,315,157,1213
BADEN-WUERTTEMBERG,RB KARLSRUHE,8222," MANNHEIM,STADT",8,1016,399,1644,308,1801,1269,18633,1477,26555,2,120,123,422,149,225,398,479,70,1988
BADEN-WUERTTEMBERG,RB KARLSRUHE,8225, NECKAR-ODENWALD-KREIS,14,175,80,956,27,156,679,12444,223,14754,14,30,92,138,175,3,177,276,40,945
BADEN-WUERTTEMBERG,RB KARLSRUHE,8231," PFORZHEIM,STADT",1,325,93,917,30,75,67,8214,543,10265,2,44,58,74,38,23,19,167,28,453
BADEN-WUERTTEMBERG,RB KARLSRUHE,8216, RASTATT,18,1276,199,946,74,101,744,19111,327,22796,17,77,103,96,74,14,167,418,32,998
BADEN-WUERTTEMBERG,RB KARLSRUHE,8226, RHEIN-NECKAR-KREIS,9,711,268,2128,172,3840,1231,37195,1181,46735,8,155,185,244,215,127,397,812,181,2324
BADEN-WUERTTEMBERG,RB STUTTGART,8115, BOEBLINGEN,10,11042,167,4772,77,828,1639,33338,1130,53003,5,90,85,170,67,122,305,502,67,1413
BADEN-WUERTTEMBERG,RB STUTTGART,8116, ESSLINGEN,11,1483,290,2685,155,768,3089,39329,1106,48916,12,253,234,185,220,163,506,700,92,2365
BADEN-WUERTTEMBERG,RB STUTTGART,8117, GOEPPINGEN,8,720,291,1297,83,198,951,21452,427,25427,6,136,209,125,135,48,165,502,51,1377
BADEN-WUERTTEMBERG,RB STUTTGART,8135, HEIDENHEIM,4,171,70,535,53,49,307,11146,478,12813,8,39,52,67,70,28,39,195,49,547
BADEN-WUERTTEMBERG,RB STUTTGART,8125, HEILBRONN,21,8283,319,6737,102,301,430,26666,801,43660,19,208,230,153,185,56,117,603,91,1662
BADEN-WUERTTEMBERG,RB STUTTGART,8121," HEILBRONN,STADT",2,336,83,1205,65,60,567,8355,349,11022,1,41,62,363,131,16,95,224,47,980
BADEN-WUERTTEMBERG,RB STUTTGART,8126, HOHENLOHEKREIS,19,236,60,3065,45,90,437,9175,124,13251,6,56,53,75,44,13,104,169,15,535
BADEN-WUERTTEMBERG,RB STUTTGART,8118, LUDWIGSBURG,17,1912,201,2776,102,425,2278,37425,695,45831,8,115,99,234,200,73,459,980,98,2266
BADEN-WUERTTEMBERG,RB STUTTGART,8128, MAIN-TAUBER-KREIS,8,476,128,406,37,97,153,10440,254,11999,3,93,122,55,43,20,41,241,40,658
BADEN-WUERTTEMBERG,RB STUTTGART,8136, OSTALBKREIS,18,1076,288,1931,105,455,212,24955,812,29852,23,154,250,247,116,73,63,444,124,1494
BADEN-WUERTTEMBERG,RB STUTTGART,8119, REMS-MURR-KREIS,4,602,219,1841,103,146,2591,31801,926,38233,6,125,188,128,82,61,516,617,139,1862
BADEN-WUERTTEMBERG,RB STUTTGART,8127, SCHWAEBISCH-HALL,11,217,238,876,37,323,885,15306,199,18092,13,46,134,116,20,26,212,386,26,979
BADEN-WUERTTEMBERG,RB STUTTGART,8111," STUTTGART,STADT",6,13305,325,2243,197,4809,6708,30170,4012,61775,5,388,202,217,93,44,692,482,353,2476
BADEN-WUERTTEMBERG,RB TUEBINGEN,8425, ALB-DONAU-KREIS,3,240,97,484,66,20,793,16370,182,18255,5,68,146,67,65,10,293,361,51,1066
BADEN-WUERTTEMBERG,RB TUEBINGEN,8426, BIBERACH,25,344,155,824,68,153,630,17033,248,19480,52,156,154,60,78,57,184,348,89,1178
BADEN-WUERTTEMBERG,RB TUEBINGEN,8435, BODENSEEKREIS,16,742,170,1202,32,180,309,16997,783,20431,18,113,163,107,27,27,62,351,57,925
BADEN-WUERTTEMBERG,RB TUEBINGEN,8436, RAVENSBURG,25,747,247,2921,170,180,506,23775,720,29291,10,157,218,171,173,51,175,672,63,1690
BADEN-WUERTTEMBERG,RB TUEBINGEN,8415, REUTLINGEN,10,528,208,1311,87,89,1455,22339,592,26619,7,74,172,164,144,17,341,408,61,1388
BADEN-WUERTTEMBERG,RB TUEBINGEN,8437, SIGMARINGEN,10,253,140,868,28,44,151,12563,623,14680,9,52,116,222,58,16,35,328,34,870
BADEN-WUERTTEMBERG,RB TUEBINGEN,8416, TUEBINGEN,5,188,106,509,59,143,1364,14712,357,17443,2,26,51,229,34,15,212,221,20,810
BADEN-WUERTTEMBERG,RB TUEBINGEN,8421," ULM,STADT",1,379,46,979,51,21,1213,7752,262,10704,3,100,63,93,31,8,189,122,27,636
BADEN-WUERTTEMBERG,RB TUEBINGEN,8417, ZOLLERNALBKREIS,27,436,166,948,36,147,394,18489,400,21043,12,65,148,131,35,39,145,420,46,1041
BAYERN,RB MITTELFRANKEN,9571, ANSBACH,20,258,173,899,57,74,119,15420,276,17296,7,105,212,108,97,41,81,406,46,1103
BAYERN,RB MITTELFRANKEN,9561," ANSBACH,STADT",3,91,15,431,9,390,164,3190,127,4420,2,3,22,33,3,46,19,95,15,238
BAYERN,RB MITTELFRANKEN,9562," ERLANGEN,STADT",0,156,69,509,26,225,175,5405,417,6982,0,18,45,73,18,11,24,80,52,321
BAYERN,RB MITTELFRANKEN,9572, ERLANGEN-HOECHSTADT,3,826,25,267,32,101,568,8952,87,10861,1,21,33,28,16,12,95,232,18,456
BAYERN,RB MITTELFRANKEN,9573, FUERTH,2,141,72,172,11,80,164,8642,197,9481,1,37,80,30,11,24,69,296,32,580
BAYERN,RB MITTELFRANKEN,9563," FUERTH,STADT",0,122,47,713,59,70,525,7400,165,9101,2,11,41,113,68,11,108,225,24,603
BAYERN,RB MITTELFRANKEN,9575, NEUSTADT/AISCH-WINDSHEIM,23,165,59,394,54,121,46,8087,149,9098,3,60,99,116,37,29,11,234,33,622
BAYERN,RB MITTELFRANKEN,9564," NUERNBERG,STADT",3,365,274,3786,183,1486,3220,27282,1408,38007,21,149,212,568,494,207,591,895,146,3283
BAYERN,RB MITTELFRANKEN,9574, NUERNBERGER LAND,13,318,115,860,53,174,212,12424,344,14513,12,52,125,104,103,52,73,283,50,854
BAYERN,RB MITTELFRANKEN,9576, ROTH,7,148,126,857,307,86,66,9770,197,11564,4,43,117,140,229,34,17,278,71,933
BAYERN,RB MITTELFRANKEN,9565," SCHWABACH,STADT",1,85,20,598,10,101,438,2865,75,4193,1,12,20,47,7,11,42,63,8,211
BAYERN,RB MITTELFRANKEN,9577, WEISSENBURG-GUNZENHAUSEN,18,166,58,1109,60,147,26,7890,215,9689,7,41,115,119,67,26,4,225,34,638
BAYERN,RB NIEDERBAYERN,9271, DEGGENDORF,9,178,186,987,67,296,173,10657,288,12841,1,42,281,194,70,271,85,347,44,1335
BAYERN,RB NIEDERBAYERN,9279, DINGOLFING-LANDAU,26,6847,47,318,28,29,50,9218,110,16673,12,45,92,44,77,13,13,378,35,709
BAYERN,RB NIEDERBAYERN,9272, FREYUNG-GRAFENAU,4,208,119,337,57,27,369,8309,135,9565,4,54,234,56,20,20,228,340,14,970
BAYERN,RB NIEDERBAYERN,9273, KELHEIM,12,103,47,823,38,11,730,10683,52,12499,25,45,110,61,49,31,387,392,18,1118
BAYERN,RB NIEDERBAYERN,9274, LANDSHUT,27,566,163,1279,45,120,332,13850,228,16610,21,41,299,155,101,60,118,543,53,1391
BAYERN,RB NIEDERBAYERN,9261," LANDSHUT,STADT",1,35,18,627,11,245,214,4895,251,6297,2,25,17,43,7,10,35,156,34,329
BAYERN,RB NIEDERBAYERN,9275, PASSAU,35,236,121,1735,97,145,421,18869,410,22069,6,113,162,171,98,52,225,663,100,1590
BAYERN,RB NIEDERBAYERN,9262," PASSAU,STADT",2,63,86,732,20,220,217,3784,255,5379,0,8,108,82,16,55,49,84,28,430
BAYERN,RB NIEDERBAYERN,9276, REGEN,68,144,100,311,48,49,41,7386,214,8361,15,60,305,62,74,21,9,267,42,855
BAYERN,RB NIEDERBAYERN,9277, ROTTAL-INN,64,144,600,704,33,37,220,11074,285,13161,13,137,383,131,100,18,64,402,43,1291
BAYERN,RB NIEDERBAYERN,9263," STRAUBING,STADT",0,84,38,1428,19,38,83,3618,311,5619,0,23,36,162,74,9,22,83,29,438
BAYERN,RB NIEDERBAYERN,9278, STRAUBING-BOGEN,16,114,92,256,13,37,62,8950,157,9697,17,44,146,36,69,46,17,358,24,757
BAYERN,RB OBERBAYERN,9171, ALTOETTING,11,135,103,439,23,20,475,9529,122,10857,4,21,91,39,33,5,148,246,17,604
BAYERN,RB OBERBAYERN,9173, BAD TOELZ-WOLFRATSHAUSEN,6,161,145,694,20,37,537,10530,259,12389,0,20,111,78,16,10,136,402,25,798
BAYERN,RB OBERBAYERN,9172, BERCHTESGADENER LAND,11,151,79,619,21,523,125,8864,224,10617,2,33,145,73,17,89,31,235,27,652
BAYERN,RB OBERBAYERN,9174, DACHAU,3,140,126,1591,351,136,323,10875,346,13891,6,34,105,90,76,28,85,321,39,784
BAYERN,RB OBERBAYERN,9175, EBERSBERG,13,161,126,845,44,443,382,9541,299,11854,9,26,126,160,75,18,79,241,30,764
BAYERN,RB OBERBAYERN,9176, EICHSTAETT,11,165,101,352,17,34,382,9401,72,10535,2,39,115,49,32,6,51,280,36,610
BAYERN,RB OBERBAYERN,9177, ERDING,8,124,78,1130,116,168,432,10697,212,12965,10,33,107,251,306,39,89,293,42,1170
BAYERN,RB OBERBAYERN,9178, FREISING,6,164,93,738,371,110,819,12919,254,15474,1,45,67,104,246,30,307,367,33,1200
BAYERN,RB OBERBAYERN,9179, FUERSTENFELDBRUCK,4,135,213,676,77,126,564,13678,374,15847,1,30,124,117,80,30,157,414,66,1019
BAYERN,RB OBERBAYERN,9180, GARMISCH-PARTENKIRCHEN,18,47,59,531,35,41,291,6378,293,7693,8,8,87,56,23,15,74,201,31,503
BAYERN,RB OBERBAYERN,9161," INGOLSTADT,STADT",3,24505,121,1969,45,325,284,8347,528,36127,1,50,77,98,23,37,51,172,41,550
BAYERN,RB OBERBAYERN,9181, LANDSBERG AM LECH,7,942,84,963,31,126,437,9635,199,12424,6,33,101,82,56,23,128,247,25,701
BAYERN,RB OBERBAYERN,9182, MIESBACH,8,199,73,587,41,44,595,8318,282,10147,4,32,83,46,65,15,119,309,25,698
BAYERN,RB OBERBAYERN,9183, MUEHLDORF A.INN,6,254,98,726,27,69,124,10805,254,12363,6,93,87,189,63,32,25,314,75,884
BAYERN,RB OBERBAYERN,9184, MUENCHEN,4,5611,426,2942,224,2508,4841,19895,2577,39028,3,125,230,347,144,330,791,422,138,2530
BAYERN,RB OBERBAYERN,9162," MUENCHEN,STADT",1,31393,187,7539,386,74855,20285,63421,5201,203268,1,279,83,1073,219,7647,2720,1484,165,13671
BAYERN,RB OBERBAYERN,9185, NEUBURG-SCHROBENHAUSEN,17,220,174,508,23,38,129,7412,190,8711,19,24,170,65,42,14,35,236,34,639
BAYERN,RB OBERBAYERN,9186, PFAFFENHOFEN A.D.ILM,12,163,82,751,68,73,137,10157,233,11676,5,52,98,114,159,33,65,367,63,956
BAYERN,RB OBERBAYERN,9187, ROSENHEIM,35,454,201,1855,80,467,949,21381,596,26018,13,68,208,285,71,53,321,695,129,1843
BAYERN,RB OBERBAYERN,9163," ROSENHEIM,STADT",0,49,52,633,25,91,246,4493,244,5833,1,53,48,54,6,11,48,123,33,377
BAYERN,RB OBERBAYERN,9188, STARNBERG,5,287,80,769,43,126,804,9396,533,12043,2,28,62,58,19,32,114,272,43,630
BAYERN,RB OBERBAYERN,9189, TRAUNSTEIN,10,183,168,1117,27,54,250,15436,396,17641,11,76,254,117,78,47,62,450,81,1176
BAYERN,RB OBERBAYERN,9190, WEILHEIM-SCHONGAU,23,230,106,697,16,37,271,11379,205,12964,8,50,169,68,32,12,70,361,40,810
BAYERN,RB OBERFRANKEN,9471, BAMBERG,10,124,147,275,37,134,132,11690,294,12843,3,51,137,58,203,37,52,260,39,840
BAYERN,RB OBERFRANKEN,9461," BAMBERG,STADT",0,111,42,755,44,216,145,3983,531,5827,0,30,40,117,53,29,46,88,64,467
BAYERN,RB OBERFRANKEN,9472, BAYREUTH,12,150,83,305,35,37,41,9010,224,9897,12,39,135,42,109,28,17,241,45,668
BAYERN,RB OBERFRANKEN,9462," BAYREUTH,STADT",2,154,124,2830,22,91,638,4221,476,8558,2,24,72,266,83,22,50,80,46,645
BAYERN,RB OBERFRANKEN,9473, COBURG,5,231,60,458,16,24,29,7261,116,8200,6,54,58,45,49,21,12,194,18,457
BAYERN,RB OBERFRANKEN,9463," COBURG,STADT",0,221,18,539,69,45,25,2872,297,4086,1,62,29,80,21,15,4,51,7,270
BAYERN,RB OBERFRANKEN,9474, FORCHHEIM,10,73,60,289,28,98,81,8761,202,9602,11,34,85,44,49,32,28,237,29,549
BAYERN,RB OBERFRANKEN,9475, HOF,12,283,55,390,34,20,97,9480,121,10492,5,66,131,119,96,11,45,274,29,776
BAYERN,RB OBERFRANKEN,9464," HOF,STADT",0,121,26,1868,52,46,99,4222,162,6596,1,33,36,161,51,6,23,100,27,438
BAYERN,RB OBERFRANKEN,9476, KRONACH,6,144,53,310,28,20,47,5968,221,6797,10,35,109,47,27,18,14,125,37,422
BAYERN,RB OBERFRANKEN,9477, KULMBACH,28,274,64,349,21,53,43,6052,249,7133,3,72,56,63,50,22,10,147,37,460
BAYERN,RB OBERFRANKEN,9478, LICHTENFELS,8,102,28,197,15,9,173,5369,166,6067,4,28,60,26,28,4,74,143,58,425
BAYERN,RB OBERFRANKEN,9479, WUNSIEDEL I.FICHTELGEB.,2,214,26,516,22,17,328,7037,140,8302,0,28,73,51,17,1,63,151,39,423
BAYERN,RB OBERPFALZ,9361," AMBERG,STADT",2,73,27,470,5,44,41,3208,198,4068,0,18,40,67,15,6,12,56,32,246
BAYERN,RB OBERPFALZ,9371, AMBERG-SULZBACH,12,129,113,336,37,57,76,8730,166,9656,4,40,177,143,125,22,40,199,43,793
BAYERN,RB OBERPFALZ,9372, CHAM,19,212,265,1033,40,82,106,11685,266,13708,13,89,610,372,136,29,42,460,31,1782
BAYERN,RB OBERPFALZ,9373, NEUMARKT I.D.OPF.,14,257,342,2199,43,81,75,9992,288,13291,9,74,268,447,76,27,37,327,46,1311
BAYERN,RB OBERPFALZ,9374, NEUSTADT A.D.WALDNAAB,13,123,58,308,25,29,228,9119,99,10002,15,55,101,54,69,18,52,252,19,635
BAYERN,RB OBERPFALZ,9375, REGENSBURG,18,256,132,843,72,33,469,14787,201,16811,9,47,202,132,244,28,166,393,35,1256
BAYERN,RB OBERPFALZ,9362," REGENSBURG,STADT",136,2939,75,1995,82,3566,609,8321,885,18608,13,40,58,284,70,3061,89,160,45,3820
BAYERN,RB OBERPFALZ,9376, SCHWANDORF,26,118,70,991,46,25,531,13252,196,15255,13,47,120,108,98,15,255,389,31,1076
BAYERN,RB OBERPFALZ,9377, TIRSCHENREUTH,14,126,104,174,27,39,28,6860,145,7517,10,42,169,23,43,3,4,209,31,534
BAYERN,RB OBERPFALZ,9363," WEIDEN I.D.OPF.,STADT",0,80,38,464,10,68,227,3504,122,4513,2,22,39,96,44,18,80,71,12,384
BAYERN,RB SCHWABEN,9771, AICHACH-FRIEDBERG,21,233,161,434,39,72,87,10114,333,11494,12,104,117,106,52,60,32,319,62,864
BAYERN,RB SCHWABEN,9772, AUGSBURG,9,478,307,1607,143,409,150,20404,554,24061,3,145,241,204,311,65,32,485,92,1578
BAYERN,RB SCHWABEN,9761," AUGSBURG,STADT",3,797,153,2699,145,367,725,18032,1568,24489,1,145,114,299,124,84,124,476,139,1506
BAYERN,RB SCHWABEN,9773, DILLINGEN A.D.DONAU,8,133,101,344,24,55,138,8432,139,9374,7,52,104,56,77,19,95,286,24,720
BAYERN,RB SCHWABEN,9779, DONAU-RIES,54,492,88,973,57,80,44,10847,324,12959,59,69,151,142,112,23,4,292,62,914
BAYERN,RB SCHWABEN,9774, GUENZBURG,10,3476,163,784,45,81,225,11748,366,16898,10,82,142,81,1237,37,24,367,68,2048
BAYERN,RB SCHWABEN,9762," KAUFBEUREN,STADT",0,65,33,436,18,55,40,3658,119,4424,0,19,75,70,15,16,12,66,24,297
BAYERN,RB SCHWABEN,9763," KEMPTEN(ALLGAEU),STADT",3,93,29,1482,229,52,281,5520,398,8087,0,34,30,93,56,11,55,136,29,444
BAYERN,RB SCHWABEN,9776, LINDAU (BODENSEE),31,159,57,348,12,42,217,6394,183,7443,8,45,66,27,13,2,36,146,14,357
BAYERN,RB SCHWABEN,9764," MEMMINGEN,STADT",3,115,97,627,20,26,174,3497,76,4635,0,40,137,87,6,3,35,49,7,364
BAYERN,RB SCHWABEN,9775, NEU-ULM,2,327,183,1380,104,431,488,14696,208,17819,10,80,108,447,143,21,155,264,34,1262
BAYERN,RB SCHWABEN,9780, OBERALLGAEU,27,203,205,725,22,95,421,13757,419,15874,8,60,212,94,54,48,150,371,47,1044
BAYERN,RB SCHWABEN,9777, OSTALLGAEU,14,444,146,788,127,83,62,12011,333,14008,11,64,227,113,52,28,19,369,52,935
BAYERN,RB SCHWABEN,9778, UNTERALLGAEU,5,289,186,619,93,38,235,12433,169,14067,3,60,168,105,61,12,69,365,30,873
BAYERN,RB UNTERFRANKEN,9671, ASCHAFFENBURG,1,382,173,755,112,148,508,13372,238,15689,6,77,138,106,179,46,112,404,62,1130
BAYERN,RB UNTERFRANKEN,9661," ASCHAFFENBURG,STADT",1,172,67,976,138,287,224,4539,286,6690,1,32,38,79,50,166,24,132,31,553
BAYERN,RB UNTERFRANKEN,9672, BAD KISSINGEN,12,132,156,260,50,51,58,8691,264,9674,18,56,216,67,67,11,24,171,30,660
BAYERN,RB UNTERFRANKEN,9674, HASSBERGE,12,175,50,360,32,92,89,7425,128,8363,12,64,118,55,38,39,54,245,21,646
